一	yi1|yi2|yi4
任	ren4|ren2|lin4
江	jiang1
及	ji2
应	ying1|ying4
省	sheng3|xing3|xian3
资	zi1
委	wei3|wei1|wei4
务	wu4
元	yuan2
美	mei3
特	te4
期	qi1|ji1
世	shi4
湖	hu2
回	hui2
系	xi4|ji4
比	bi3|bi4|pi2|pi3
气	qi4|qi3
汉	han4
总	zong3
展	zhan3
电	dian4
科	ke1|ke4
金	jin1|jin4
先	xian1
声	sheng1|qing4
提	ti2|di1|chi2|shi2|di3
品	pin3
设	she4
或	huo4|yu4
义	yi4
王	wang2|wang4|yu4
社	she4
很	hen3
统	tong3
处	chu4|chu3
四	si4
首	shou3
共	gong4|gong1|gong3|hong2
马	ma3
形	xing2
己	ji3|qi3
儿	er2|er5|ren2
司	si1|ci2|si4
太	tai4|ta1
目	mu4
基	ji1
领	ling3
队	dui4
直	zhi2
计	ji4
别	bie2|bie4
女	nv3|nv4|ru3
权	quan2
话	hua4
少	shao3|shao4
流	liu2
命	ming4
至	zhi4|die2
报	bao4
米	mi3
给	gei3|ji3
打	da3|da2
变	bian4
果	guo3|luo3|guan4
书	shu1
清	qing1|qing4
活	huo2|guo1
几	ji3|ji1
州	zhou1
华	hua2|hua4|hua1
解	jie3|jie4|xie4
议	yi4
更	geng4|geng1
称	cheng1|chen4|cheng4
程	cheng2
今	jin1
决	jue2
张	zhang1
导	dao3
术	shu4|zhu2|shu2
府	fu3
才	cai2|zai1
保	bao3
交	jiao1
放	fang4|fang3|fang1
管	guan3
结	jie2|jie1
师	shi1
便	bian4|pian2|bian1
走	zou3
达	da2|ti4|ta4
族	zu2|sou3|cou4|zou4
反	fan3|fan4
再	zai4
题	ti2
色	se4|shai3
五	wu3
京	jing1
河	he2
接	jie1|xie2|sha4|cha1
条	tiao2
规	gui1
式	shi4|te4
县	xian4
白	bai2|bo2
它	ta1|tuo2|yi2
改	gai3
风	feng1
光	guang1|guang4
运	yun4|yun3
信	xin4|shen1
受	shou4|dao4
什	shen2|shi2
组	zu3
听	ting1|yin3|yi2
布	bu4
百	bai3|bo2|mo4
济	ji4|ji3
党	dang3
指	zhi3|zhi1|zhi2
论	lun4|lun2
强	qiang2|jiang4|qiang3
做	zuo4
取	qu3|qu1
技	ji4|qi2
黄	huang2
神	shen2|shen1
选	xuan3
记	ji4
斯	si1|shi3
真	zhen1
却	que4
职	zhi2
号	hao4|hao2|xiao1
界	jie4
件	jian4|mou2
花	hua1
类	lei4
何	he2|he4
眼	yan3|wen3
兵	bing1
传	chuan2|zhuan4
带	dai4
空	kong1|kong4|kong3
干	gan4|gan1|an4
农	nong2
边	bian1|bian5
据	ju4|ju1
集	ji2
联	lian2
古	gu3|gu4|ku1
广	guang3|yan3|an1
完	wan2|kuan1
质	zhi4
阳	yang2
难	nan2|nan4
增	zeng1|zeng4|ceng2
历	li4
史	shi3
专	zhuan1
官	guan1
每	mei3
住	zhu4
商	shang1
即	ji2
步	bu4
认	ren4
车	che1|ju1
台	tai2|tai1|yi2|si4
林	lin2
必	bi4
死	si3
游	you2|liu2
举	ju3
线	xian4
言	yan2|yan4|yin2
皇	huang2|wang3
土	tu3|du4|cha3|tu2
团	tuan2|qiu2
收	shou1
考	kao3
求	qiu2
德	de2
叫	jiao4
近	jin4
备	bei4
研	yan2|yan4|xing2
争	zheng1
非	fei1|fei3
具	ju4
李	li3
众	zhong4|yin2
连	lian2
调	diao4|tiao2
感	gan3|han4
转	zhuan3|zhuan4|zhuai3
笑	xiao4
革	ge2|ji2
该	gai1
持	chi2
始	shi3
英	ying1|yang1
克	ke4
士	shi4
尔	er3
让	rang4
拉	la1|la2|la3|la4|la5
思	si1|sai1
根	gen1
格	ge2|luo4|he4|ge1
造	zao4|cao4|cao1
较	jiao4
际	ji4
亲	qin1|qing4
单	dan1|chan2|shan4
朝	chao2|zhao1|zhu1
红	hong2|gong1
型	xing2
价	jia4|jie5|jie4
校	xiao4|jiao4|jiao3|qiao1
约	yue1|yao1
器	qi4
字	zi4
段	duan4
周	zhou1
亚	ya4
深	shen1
候	hou4
则	ze2
功	gong1
属	shu3|zhu3
积	ji1|zhi3
快	kuai4
图	tu2
火	huo3|huo1
千	qian1
准	zhun3
究	jiu1|jiu4
往	wang3|wang4
极	ji2
育	yu4|zhou4|yo1
装	zhuang1
许	xu3|hu3
参	can1|cen1|shen1
半	ban4|pan4
令	ling4|ling2|ling3|lian2
吃	chi1|qi1
观	guan1|guan4
鱼	yu2
精	jing1|qing2|jing4
办	ban4
像	xiang4
帝	di4
八	ba1|ba2
复	fu4
影	ying3
告	gao4|ju1|gu4
远	yuan3
群	qun2
包	bao1|pao2|fu2
整	zheng3
构	gou4
料	liao4|liao2
随	sui2
划	hua4|hua2|guo4|guo3|huai5
算	suan4
象	xiang4
容	rong2|yong3
示	shi4|qi2|zhi4|shi2
投	tou2|dou4
势	shi4
热	re4
值	zhi2
夫	fu1|fu2
网	wang3
望	wang4
源	yuan2
息	xi1
语	yu3|yu4
股	gu3
铁	tie3
断	duan4
派	pai4|mai4|bai4|pa1
速	su4
怎	zen3
需	xu1|nuo4|ru2|ruan3
片	pian4|pian1|pan4
爱	ai4
律	lv4
纪	ji4|ji3
支	zhi1|zhi4|qi2
早	zao3
况	kuang4
病	bing4
境	jing4
证	zheng4
编	bian1
越	yue4|huo2
局	ju2
推	tui1
满	man3
且	qie3|ju1|cu2
列	lie4|li4
觉	jue2|jiao4
服	fu2|fu4|bi4|bo2
双	shuang1
未	wei4
居	ju1|ji1
除	chu2|zhu4|shu1
乐	le4|yue4
企	qi3
引	yin3
标	biao1
确	que4
织	zhi1
初	chu1
青	qing1|jing1
志	zhi4
率	lv4|shuai4|lve4
项	xiang4
飞	fei1
球	qiu2
节	jie2|jie1
察	cha2|cui4
龙	long2
响	xiang3
药	yao4
站	zhan4|zhan1
施	shi1|yi4|shi3
均	jun1|yun4
消	xiao1
客	ke4|qia4
失	shi1|yi4
轻	qing1
存	cun2
低	di1
甚	shen4|shen2
般	ban1|pan2|ban3|bo1
击	ji1
曾	ceng2|zeng1
防	fang2
请	qing3
离	li2|chi1
落	luo4|la4|lao4|luo1
显	xian3
罗	luo2|luo1
营	ying2
足	zu2|ju4
素	su4
视	shi4
护	hu4
副	fu4|pi4
食	shi2|si4|yi4
创	chuang4|chuang1
余	yu2|tu2|xu2|yu4
照	zhao4
兴	xing1|xing4
占	zhan4|zhan1|tie1
巴	ba1
虽	sui1
洲	zhou1
村	cun1
费	fei4
易	yi4
试	shi4
星	xing1
木	mu4
黑	hei1
左	zuo3
宝	bao3
置	zhi4
跟	gen1
央	yang1|ying1
识	shi2|shi4|zhi4
维	wei2
采	cai3|cai4
六	liu4|lu4
底	di3|de5
宫	gong1
房	fang2|pang2
音	yin1
环	huan2
案	an4
批	pi1|pi2
切	qie4|qie1|qi4
斗	dou4|dou3|zhu3
富	fu4
乡	xiang1
另	ling4
倒	dao4|dao3
若	ruo4|re2|re4|re3
按	an4
查	cha2|zha1|chai2
故	gu4
突	tu1
责	ze2
严	yan2
桥	qiao2
模	mo2|mu2
仅	jin3|fu4|nu2|jin4
胜	sheng4|xing1|qing4|sheng1
杀	sha1
围	wei2
席	xi2
态	tai4
破	po4
承	cheng2|zheng3|zheng4
招	zhao1|qiao2|shao2
杨	yang2
负	fu4
层	ceng2
须	xu1
父	fu4|fu3
供	gong1|gong4
续	xu4
状	zhuang4
域	yu4
似	shi4|si4
依	yi1|yi3
银	yin2
范	fan4
修	xiu1
找	zhao3|hua2
九	jiu3|jiu1
致	zhi4|zhui4
密	mi4
终	zhong1
血	xue4|xie3
旅	lv3
钱	qian2
赛	sai4
独	du2
细	xi4
效	xiao4
玉	yu4
冲	chong1|chong4
获	huo4
习	xi2
医	yi1|yi4
演	yan3|yan4
毛	mao2|mao4
尽	jin3|jin4
脸	lian3
弹	dan4|tan2
楼	lou2
艺	yi4
航	hang2
陆	lu4|liu4
右	you4
协	xie2
七	qi1|qi2
攻	gong1
镇	zhen4
检	jian3
写	xie3|xie4
苏	su1
宗	zong1
章	zhang1|zhang4
注	zhu4|zhou4
阿	a1|e1|e3|a3|a4|a5
抗	kang4|gang1
弟	di4|ti4|tui2
坐	zuo4
验	yan4
封	feng1|bian3
紧	jin3
劳	lao2
户	hu4
优	you1|you2
财	cai2
养	yang3
适	shi4|kuo4
陈	chen2
喜	xi3|xi1|chi4
卫	wei4
排	pai2|pai3|bai4
射	she4|ye4|yi4
哥	ge1
油	you2|you4
刻	ke4|kei1
留	liu2|liu4|liu3
急	ji2
降	jiang4|xiang2|xiang4
念	nian4
云	yun2
微	wei1
伤	shang1
例	li4|lie4
景	jing3|ying3
拿	na2
绝	jue2
阶	jie1
座	zuo4
刘	liu2
刚	gang1
害	hai4|he2
印	yin4|yi4
亿	yi4
沙	sha1|sha4|suo1
母	mu3|mu2|wu3|wu2
酒	jiu3
助	zhu4|chu2
闻	wen2
超	chao1|chao3|chao4|tiao4
审	shen3
待	dai4|dai1
压	ya1|ya4
升	sheng1
送	song4
监	jian1|jian4
策	ce4
略	lve4
限	xian4|wen3
竟	jing4
香	xiang1
配	pei4
藏	cang2|zang4|zang1
敌	di2|hua2
呢	ne5|ni2|ni3|ni1
差	cha4|cha1|chai1|ci1|chai4|cuo1|jie1
仍	reng2
兰	lan2
温	wen1|yun4
园	yuan2|wan2
树	shu4
征	zheng1
善	shan4
波	bo1|bei1|bi4
哪	na3|na5|ne2|nuo2|nai3|na4|nie4|nei3
词	ci2
岛	dao3
止	zhi3
预	yu4
怕	pa4|bo2
继	ji4
皮	pi2
执	zhi2
味	wei4|mei4
份	fen4|bin1
角	jiao3|jue2|lu4|gu3
草	cao3|zao4
男	nan2
普	pu3
答	da2|da1
益	yi4
谁	shui2|shei2
船	chuan2
惊	jing1|liang2
核	he2|hu2|gai1|kai4
街	jie1
夏	xia4|jia3
宣	xuan1
掌	zhang3
田	tian2
久	jiu3
著	zhu4|zhe5|zhuo2|chu2|zhao1|zhao2
画	hua4
辑	ji2
奇	qi2|ji1|ai3|yi3
尼	ni2|ni3
剑	jian4
吧	ba5|ba1|pa1
谈	tan2
背	bei4|bei1
免	mian3|wen4|wan3
孩	hai2
礼	li3
材	cai2
愿	yuan4
洋	yang2|xiang2|yang3
春	chun1|chun3
架	jia4
筑	zhu4|zhu2
括	kuo4|gua1
晚	wan3
乱	luan4
乎	hu1
讲	jiang3
尚	shang4|chang2
良	liang2|liang3
友	you3
临	lin2
激	ji1|jiao4|jiao1
刀	dao1|diao1
夜	ye4
室	shi4
既	ji4|xi4
敢	gan3
邦	bang1
挥	hui1
昌	chang1|chang4
板	ban3
胡	hu2
欧	ou1
福	fu2|fu4
港	gang3|hong4
叶	ye4|xie2
简	jian3
苦	ku3|gu3|hu4
担	dan1|dan4|dan3|jie1
句	ju4|gou1|gou4|qu2
岁	sui4
荆	jing1
贵	gui4
娘	niang2
守	shou3|shou4
辖	xia2
威	wei1
宜	yi2
衣	yi1|yi4
帮	bang1
块	kuai4|yue2
堂	tang2
额	e2
错	cuo4
剧	ju4
充	chong1
欢	huan1
够	gou4
孙	sun1
班	ban1
呼	hu1|xiao1|xu1|he4|xia4
阵	zhen4
销	xiao1
坚	jian1
练	lian4
脚	jiao3|jue2
退	tui4
读	du2|dou4
测	ce4
吴	wu2|tun1
希	xi1
宁	ning2|ning4|zhu4
换	huan4
版	ban3
异	yi4|yi2
某	mou3|mei2
顾	gu4
曲	qu1|qu3
楚	chu3
典	dian3|tian3
朱	zhu1|shu1
毒	du2|dai4
菜	cai4
判	pan4
救	jiu4|jiu1
宋	song4
茶	cha2
洪	hong2
含	han2|han4
顺	shun4
啊	a5|a1|a2|a3|a4|e4
鲜	xian1|xian3
败	bai4
货	huo4
矿	kuang4
端	duan1
兄	xiong1|kuang4
归	gui1
冷	leng3|ling2|ling3
忙	mang2
买	mai3
险	xian3
康	kang1|kang4
评	ping2
肉	rou4|ru4
吗	ma5|ma2|ma3
厂	chang3|han3|yan2|an1
永	yong3
哈	ha1|ha3|ha4|he1|he2|ta4|sha4
沉	chen2
散	san4|san3|san1
遗	yi2|wei4
停	ting2
笔	bi3
假	jia3|jia4|jie5|xia4|xia2|ge2
输	shu1
牛	niu2
洞	dong4|tong2
松	song1
渐	jian4|jian1
顶	ding3
训	xun4
录	lu4
否	fou3|pi3
述	shu4
毕	bi4
督	du1
控	kong4|kong1|qiang1
丰	feng1
献	xian4
姑	gu1
忽	hu1
爷	ye2
互	hu4
亮	liang4|liang2
纳	na4
襄	xiang1
登	deng1|de2
咱	zan2|za2|za3|zan5
钟	zhong1
伯	bo2|bai3|mo4|ba4
臣	chen2
雄	xiong2
季	ji4
脑	nao3
介	jie4|ge4
鄂	e4
召	zhao4|shao4
饭	fan4
暗	an4
扩	kuo4
祖	zu3|jie1
齐	qi2|ji4
短	duan3
烈	lie4
赶	gan3|qian2
牌	pai2
恩	en1
诉	su4
移	yi2|chi3|yi4
诗	shi1
础	chu3
露	lu4|lou4
届	jie4
蒙	meng2|meng1|meng3
静	jing4
喝	he1|he4|ye4|kai4
盘	pan2
卖	mai4
植	zhi2
授	shou4
伊	yi1
湾	wan1
博	bo2
痛	tong4
减	jian3
穿	chuan1|chuan4|yuan1
逐	zhu2|di2|zhou4|tun2
秘	mi4|bi4|bie2
庭	ting2
陵	ling2
固	gu4
禁	jin4|jin1
票	piao4|piao1
灵	ling2
杂	za2|duo3
姓	xing4|sheng1
泽	ze2
吸	xi1
侧	ce4|ze4|zhai1
庆	qing4
妈	ma1
遇	yu4|yong2|ou3
追	zhui1|dui1|tui1
甲	jia3
馆	guan3
补	bu3
唐	tang2
炮	pao4|bao1|pao2
沿	yan2|yan3|yan4
殿	dian4
刺	ci4|ci1|qi4
怪	guai4
彩	cai3
俄	e2
旧	jiu4
警	jing3
索	suo3
岸	an4
轮	lun2
妇	fu4
载	zai4|zai3
靠	kao4
附	fu4|bu4|fu1
毫	hao2
怀	huai2|fu4
软	ruan3
骨	gu3|gu1|gu2
探	tan4|xian2
雷	lei2|lei4
旁	pang2|peng1|beng1|bang4
罪	zui4
枪	qiang1
牙	ya2|ya4
迎	ying2|ying4
序	xu4
慢	man4|man2
盛	sheng4|cheng2
雨	yu3|yu4
墙	qiang2
恶	e4|e3|wu4|wu1
谷	gu3|lu4|yu4
顿	dun4|du2
危	wei1
稳	wen3
熟	shu2|shou2
概	gai4|gui4|jie2
酸	suan1
操	cao1
诸	zhu1
绿	lv4|lu4
佛	fu2|fo2|bo2|bi4
荣	rong2
针	zhen1
托	tuo1
宽	kuan1
折	zhe2|she2|zhe1|ti2
野	ye3|shu4
付	fu4
午	wu3
肯	ken3
库	ku4
厚	hou4
缺	que1|kui3
罢	ba4|ba5
耳	er3|reng2
屋	wu1
嘴	zui3
末	mo4|me5
谢	xie4
巨	ju4|qu2
培	pei2|pou3|pi1
页	ye4
瓦	wa3|wa4
款	kuan3|xin1
犯	fan4
困	kun4
店	dian4
智	zhi4|zhi1
拥	yong1
雪	xue3
翻	fan1
圣	sheng4|ku1
戏	xi4|hu1
旗	qi2
吉	ji2
婚	hun1
奖	jiang3
岩	yan2
疑	yi2|ning2
币	bi4|yin4
圆	yuan2
歌	ge1
廷	ting2
健	jian4
卡	ka3|qia3
烧	shao1
析	xi1|si1
讨	tao3
跑	pao3|pao2|bo2
烟	yan1|yin1
误	wu4
仙	xian1|xian3
疗	liao2
舞	wu3
亡	wang2|wu2
闭	bi4
汽	qi4|gai4|yi3
伸	shen1
脱	tuo1|tui4
秋	qiu1
姐	jie3|ju4|xu4|zu1
繁	fan2|po2|pan2
侵	qin1|qin3
川	chuan1
莫	mo4|mu4
麻	ma2|ma1
秀	xiu4
借	jie4
寻	xun2|xin2
私	si1
岗	gang3|gang1
卷	juan3|juan4|quan2|quan1|gun3|jun4
跳	tiao4|diao4|tao2
丽	li4|li2
横	heng2|heng4|guang1|guang4|huang2|huang4
驻	zhu4
套	tao4|tao3
兼	jian1
您	nin2
君	jun1
丁	ding1|zheng1
束	shu4
纸	zhi3
夺	duo2
袁	yuan2
灯	deng1|ding1
坏	huai4|pi1|pei2
坦	tan3
丝	si1
径	jing4
购	gou4
阴	yin1
床	chuang2
瞧	qiao2
择	ze2|zhai2
墓	mu4
宪	xian4|xiong4
峰	feng1
遍	bian4
鲁	lu3
庙	miao4
掉	diao4|nuo2
丹	dan1
桃	tao2|tiao1|zhao4
御	yu4|ya4
舰	jian4
避	bi4
售	shou4|shu2
怒	nu4
课	ke4
播	bo1|bo3
拔	ba2|bo1|bie2|fa2|bei4
奥	ao4|yu4|you1
延	yan2
虚	xu1
隐	yin3
粮	liang2
络	luo4|lao4
遭	zao1
摇	yao2
潜	qian2
庄	zhuang1|peng2
混	hun4|gun3|hun2|kun1
厅	ting1
婆	po2
奴	nu2
鼓	gu3
赵	zhao4
访	fang3
睡	shui4
震	zhen4|shen1
予	yu3|yu2|zhu4
童	tong2|zhong1
徐	xu2
韦	wei2
殖	zhi2|shi5|shi4
抓	zhua1
拜	bai4|bai2
吨	dun1|tun2|tun3
扬	yang2
址	zhi3
洛	luo4
休	xiu1|xu4
纵	zong4
逃	tao2
染	ran3
纷	fen1
贸	mao4
透	tou4|shu1
汇	hui4
灭	mie4
蛋	dan4
森	sen1
仪	yi2
塔	ta3|da1|da5
距	ju4
狐	hu2
融	rong2
郡	jun4
缓	huan3
聚	ju4
盖	gai4|ge3
拍	pai1|bo2
迹	ji4|ji1
忠	zhong1
释	shi4
润	run4
粉	fen3
涓	juan1|yuan4|xuan4
孔	kong3
岭	ling3|ling2
搜	sou1|xiao1|sou4|shao3
紫	zi3
虑	lv4|bi4
促	cu4|chuo4
抵	di3|zhi3|qi2
钢	gang1|gang4
塞	sai1|sai4|se4
寺	si4|shi4
津	jin1
液	ye4|shi4
码	ma3
虎	hu3|hu4
坛	tan2
珍	zhen1
硬	ying4|geng3
梁	liang2
奔	ben1|ben4|fen4
累	lei4|lei2|lei3|lv4|lie4
役	yi4
偏	pian1
迫	po4|pai3
锛	ben1
凡	fan2
损	sun3
壁	bi4
哭	ku1
替	ti4
税	shui4|tuo1|tui4|tuan4
综	zong1|zeng4
伦	lun2
冰	bing1|ning2
盟	meng2|meng4|ming2
挂	gua4
韩	han2
竞	jing4
乌	wu1|wu4
尤	you2
弱	ruo4
铺	pu4|pu1
妹	mei4
秦	qin2
尊	zun1
竹	zhu2
珠	zhu1
迅	xun4
脉	mai4|mo4
泥	ni2|ni4|ni3|nie4|ning4
鬼	gui3
纯	chun2
睛	jing1|jing3
刑	xing2
途	tu2
隆	long2|long1
潮	chao2
幅	fu2|bi1
杯	bei1
握	wo4|ou4
谋	mou2
剂	ji4
幸	xing4|nie4
奉	feng4
乘	cheng2|sheng4
抱	bao4|pao1|pou3
朋	peng2
谓	wei4
频	pin2
崇	chong2
壮	zhuang4
骑	qi2
紝	ren4
恐	kong3
享	xiang3
鸡	ji1
虫	chong2|hui3
绍	shao4
铜	tong2
呈	cheng2|kuang2|cheng3
泛	fan4|feng3|fa2
械	xie4
摆	bai3
欲	yu4
奶	nai3
敬	jing4
措	cuo4|ze2|ci4
爆	bao4|bo2
暴	bao4|pu4|bo2
签	qian1
猛	meng3
郭	guo1|guo2
嘉	jia1
障	zhang4|zhang1
缩	suo1|su4
亦	yi4
废	fei4
搞	gao3|qiao1|kao4
胞	bao1|pao2|pao4
埃	ai1|zhi4
曰	yue1
撤	che4
暖	nuan3|xuan1
寒	han2
订	ding4
俗	su2
绩	ji4|ji1
阻	zu3|zhu4
盐	yan2
萨	sa4
勒	lei1|le4|lei5
忘	wang4|wang2
奏	zou4|cou4
孝	xiao4
贴	tie1
灰	hui1
梅	mei2
触	chu4
玩	wan2
默	mo4
醒	xing3|cheng2|jing1
胸	xiong1
莲	lian2
篇	pian1
柱	zhu4|zhu3
裁	cai2
啦	la5|la1
淡	dan4|yan4|tan2
抢	qiang3|qiang1
捕	bu3
闹	nao4
纺	fang3
截	jie2
讯	xun4
朗	lang3
誉	yu4
雅	ya3|ya1|ya2
忍	ren3|ren4
梦	meng4
伙	huo3|huo5
勇	yong3
峡	xia2
徒	tu2
丈	zhang4
尾	wei3|yi3
迷	mi2|mi4
唱	chang4
泉	quan2
泰	tai4
佳	jia1
残	can2
闪	shan3
伍	wu3
呀	ya5|ya1|xia1
疾	ji2
署	shu3
剩	sheng4
贼	zei2
冠	guan1|guan4
倾	qing1
豆	dou4
申	shen1
贫	pin2
诺	nuo4
麦	mai4
泪	lei4
羊	yang2
尖	jian1
辈	bei4
镜	jing4
涉	she4|die2
贡	gong4
爹	die1
缘	yuan2
摩	mo2|ma1|mi2
妻	qi1|qi4
殊	shu1
贝	bei4
零	ling2|lian2
映	ying4|yang3
甘	gan1|han1
骂	ma4
糖	tang2
岳	yue4
饮	yin3|yin4
奋	fen4|kang3
棉	mian2
雕	diao1
跃	yue4
汗	han4|han2|gan1
冒	mao4|mo4
渡	du4
努	nu3
赞	zan4
启	qi3
阁	ge2
斤	jin1
裂	lie4|lie3
患	huan4
伏	fu2|fu4
池	chi2|tuo2|che4
鹿	lu4|lv2
洗	xi3|xian3
劲	jin4|jing4
晋	jin4
倍	bei4|pei2
圈	quan1|juan1|juan4|quan2|juan3
媒	mei2|mei4
箭	jian4
沟	gou1
锋	feng1
胆	dan3|tan2|tan3|da2
凭	ping2
挑	tiao1|tiao3|tao2|diao4|tiao2|tiao5
抬	tai2|chi1
闯	chuang3
隔	ge2|rong3|ji1
弄	nong4|long4
曹	cao2
汤	tang1|shang1
苗	miao2
迁	qian1
叹	tan4|yi3|you4
唯	wei2|wei3
振	zhen4|zhen1|zhen3
储	chu3
贯	guan4
彻	che4
桌	zhuo1
祭	ji4|zhai4
符	fu2
僧	seng1|ceng2
衡	heng2
炸	zha4|zha2
旋	xuan2|xuan4
喊	han3|kan4|jian1
凤	feng4
黎	li2
郎	lang2|lang4
援	yuan2|huan4
肥	fei2|bi3
磁	ci2
忌	ji4
赏	shang3
辽	liao2
祥	xiang2
董	dong3|zhong3
仁	ren2
辛	xin1
瑞	rui4
询	xun2
敏	min3
浪	lang4|lang2
貌	mao4|mo4
毁	hui3|hui4
昨	zuo2
巧	qiao3
腿	tui3
抽	chou1
荷	he2|he4|he1
陷	xian4
焦	jiao1|qiao2
净	jing4|cheng1
腹	fu4
弃	qi4
乃	nai3|ai3
湘	xiang1
亩	mu3
滑	hua2|gu3
狗	gou3
冬	dong1
宏	hong2
皆	jie1
番	fan1|pan1|fan2|bo1|po2|pan2|pan4|pi2
尸	shi1
伟	wei3
桂	gui4
览	lan3
恢	hui1
龄	ling2
绕	rao4|rao3
趣	qu4|cu4|qu1|cou3|zou1
晶	jing1
坡	po1
魏	wei4|wei2|wei1
摸	mo1|mo2
伴	ban4|pan4
墨	mo4|mei4
浓	nong2
绪	xu4
舍	she3|she4|shi4
蓝	lan2|la5
荡	dang4
阅	yue4
井	jing3|jing4
鸿	hong2
旦	dan4
惯	guan4
症	zheng4|zheng1
鸟	niao3|diao3
窗	chuang1|cong1
扎	zha1|za1|zha2|zha3
辞	ci2
聘	pin4|ping4
穷	qiong2
堰	yan4
宇	yu3
键	jian4
荒	huang1|huang3|kang1|huang2
递	di4
恨	hen4
隶	li4|dai4|yi4|di4
厉	li4
杜	du4|du3|tu2
闲	xian2
腰	yao1
袭	xi2
侍	shi4
灾	zai1
涨	zhang3|zhang4
叔	shu1
湿	shi1
寨	zhai4|se4|qian1
幕	mu4|man4
豪	hao2
郑	zheng4
磨	mo2|mo4
浮	fu2
薄	bao2|bo2|bo4|bu4
券	quan4|xuan4
赤	chi4
腐	fu3
译	yi4
租	zu1|ju1
氧	yang3
戴	dai4
邓	deng4|shan1
煤	mei2
肠	chang2
牧	mu4
孤	gu1
诏	zhao4
妙	miao4|miao3
旨	zhi3
堡	bao3|bu3|pu4
册	ce4|zha4
锅	guo1
